index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
271,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.954954955,0.5,-47.64150943
272,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.990990991,0.5,-49.54545455
273,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.963963964,0.25,-74.06542056
274,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.990990991,0.5,-49.54545455
275,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.990990991,0.25,-74.77272727
276,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.963963964,0.375,-61.09813084
277,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.981981982,0.875,-10.89449541
278,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.936936937,0.375,-59.97596154
279,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.972972973,0.5,-48.61111111
280,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.927927928,0.5,-46.11650485
281,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.936936937,0.5,-46.63461538
282,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.927927928,0.625,-32.64563107
283,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,1,0.25,-75
284,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,6,4,0.0001,0.955357143,0.571428571,-40.18691589
285,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.963963964,0.625,-35.1635514
286,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.918918919,0.375,-59.19117647
287,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,1,0.25,-75
288,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.945945946,0.25,-73.57142857
289,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.963963964,0.625,-35.1635514
290,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.945945946,0.5,-47.14285714
291,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.954954955,0.375,-60.73113208
292,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.945945946,0.625,-33.92857143
293,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.990990991,0.375,-62.15909091
294,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.972972973,0.375,-61.45833333
295,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.954954955,0.75,-21.46226415
296,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.927927928,0.5,-46.11650485
297,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.963963964,0.875,-9.228971963
298,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.891891892,0.5,-43.93939394
299,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0,6,4,1.00E-05,0.9375,0.571428571,-39.04761905
300,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.837837838,0.375,-55.24193548
301,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.738738739,0.75,1.524390244
302,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.792792793,0.875,10.36931818
303,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.828828829,0.5,-39.67391304
304,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.801801802,0.625,-22.0505618
305,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.801801802,0.5,-37.64044944
306,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.837837838,0.625,-25.40322581
307,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.837837838,0.875,4.435483871
308,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.837837838,0.5,-40.32258065
309,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.846846847,0.875,3.324468085
310,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.693693694,0.75,8.116883117
311,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.810810811,0.875,7.916666667
312,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.801801802,0.75,-6.460674157
313,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.846846847,0.625,-26.19680851
314,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,5,3,0.1,0.803571429,1,24.44444444
315,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.756756757,0.625,-17.41071429
316,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.846846847,0.875,3.324468085
317,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.747747748,0.75,0.301204819
318,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.837837838,0.375,-55.24193548
319,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.846846847,0.625,-26.19680851
320,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.864864865,0.625,-27.734375
321,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.801801802,0.5,-37.64044944
322,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.684684685,0.875,27.79605263
323,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.828828829,0.5,-39.67391304
324,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.828828829,0.625,-24.5923913
325,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.855855856,0.75,-12.36842105
326,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.855855856,0.75,-12.36842105
327,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.738738739,0.75,1.524390244
328,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.810810811,0.625,-22.91666667
329,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,5,3,0.01,0.857142857,0.714285714,-16.66666667
330,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.81981982,0.375,-54.25824176
331,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.801801802,0.875,9.129213483
332,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.927927928,0.75,-19.17475728
333,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.855855856,0.375,-56.18421053
334,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.918918919,0.5,-45.58823529
335,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.774774775,0.875,12.93604651
336,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.828828829,0.375,-54.75543478
337,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.882882883,0.75,-15.05102041
338,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.873873874,0.75,-14.17525773
339,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.855855856,0.625,-26.97368421
340,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.837837838,0.75,-10.48387097
341,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.837837838,0.75,-10.48387097
342,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.900900901,0.5,-44.5
343,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.801801802,0.625,-22.0505618
344,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,5,3,0.001,0.848214286,0.857142857,1.052631579
345,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.828828829,0.5,-39.67391304
346,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.882882883,0.875,-0.892857143
347,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.90990991,0.625,-31.31188119
348,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.837837838,0.375,-55.24193548
349,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.873873874,0.5,-42.78350515
350,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.792792793,0.5,-36.93181818
351,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.864864865,0.375,-56.640625
352,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.801801802,0.875,9.129213483
353,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.864864865,0.625,-27.734375
354,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.846846847,0.75,-11.43617021
355,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.765765766,0.875,14.26470588
356,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.783783784,0.75,-4.310344828
357,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.882882883,0.75,-15.05102041
358,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.882882883,0.625,-29.20918367
359,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,3,0.0001,0.910714286,1,9.803921569
360,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.792792793,0.5,-36.93181818
361,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.900900901,0.875,-2.875
362,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.828828829,0.875,5.570652174
363,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.828828829,0.375,-54.75543478
364,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.810810811,0.5,-38.33333333
365,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.864864865,0.5,-42.1875
366,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.891891892,0.5,-43.93939394
367,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.891891892,0.875,-1.893939394
368,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.927927928,0.625,-32.64563107
369,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.873873874,0.875,0.128865979
370,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.810810811,0.875,7.916666667
371,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.792792793,0.875,10.36931818
372,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.855855856,0.625,-26.97368421
373,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.81981982,0.625,-23.76373626
374,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,3,1.00E-05,0.803571429,0.857142857,6.666666667
375,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.765765766,0.625,-18.38235294
376,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.693693694,0.75,8.116883117
377,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.774774775,0.75,-3.197674419
378,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.756756757,0.5,-33.92857143
379,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.747747748,0.5,-33.13253012
380,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.810810811,0.625,-22.91666667
381,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.837837838,0.625,-25.40322581
382,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.810810811,0.875,7.916666667
383,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.783783784,0.5,-36.20689655
384,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.783783784,0.75,-4.310344828
385,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.81981982,0.875,6.730769231
386,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.666666667,0.75,12.5
387,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.720720721,0.875,21.40625
388,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.846846847,0.625,-26.19680851
389,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,5,4,0.1,0.848214286,1,17.89473684
390,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.828828829,0.5,-39.67391304
391,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.828828829,0.875,5.570652174
392,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.855855856,0.875,2.236842105
393,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.81981982,0.375,-54.25824176
394,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.837837838,0.5,-40.32258065
395,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.774774775,0.375,-51.59883721
396,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.837837838,0.5,-40.32258065
397,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.756756757,0.875,15.625
398,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.81981982,0.125,-84.75274725
399,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.810810811,0.625,-22.91666667
400,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.873873874,0.75,-14.17525773
401,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.774774775,0.875,12.93604651
402,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.810810811,0.75,-7.5
403,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.783783784,0.5,-36.20689655
404,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,5,4,0.01,0.776785714,0.714285714,-8.045977011
