index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
50,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.954954955,0.625,-34.55188679
51,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.891891892,0.5,-43.93939394
52,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.891891892,0.375,-57.95454545
53,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.981981982,0.5,-49.08256881
54,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.936936937,0.5,-46.63461538
55,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.972972973,0.625,-35.76388889
56,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.918918919,0.625,-31.98529412
57,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.918918919,0.625,-31.98529412
58,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.900900901,0.5,-44.5
59,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0,5,3,0.0001,0.973214286,0.714285714,-26.60550459
60,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.945945946,0.25,-73.57142857
61,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.927927928,0.75,-19.17475728
62,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.918918919,0.75,-18.38235294
63,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.945945946,0.25,-73.57142857
64,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.945945946,0.5,-47.14285714
65,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.927927928,0.375,-59.58737864
66,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.981981982,0.625,-36.35321101
