index,parameters,max_depth,n_estimators,training,validation,overfit_%
95,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.666666667,0.5,-25
96,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.567567568,0.5,-11.9047619
97,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.621621622,0.5,-19.56521739
98,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.585585586,0.5,-14.61538462
99,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.720720721,0.5,-30.625
100,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.567567568,0.375,-33.92857143
101,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.531531532,0.625,17.58474576
102,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.513513514,0.625,21.71052632
103,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.594594595,0.625,5.113636364
104,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 2}",3,2,0.598214286,0.714285714,19.40298507
105,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.603603604,0.375,-37.87313433
106,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.603603604,0.75,24.25373134
107,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.63963964,0.75,17.25352113
108,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.540540541,0.375,-30.625
109,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.738738739,0.5,-32.31707317
110,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.702702703,0.625,-11.05769231
111,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.621621622,0.5,-19.56521739
112,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.576576577,0.5,-13.28125
113,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.630630631,0.625,-0.892857143
