index,parameters,max_depth,n_estimators,training,validation,overfit_%
500,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.900900901,0.375,-58.375
501,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.891891892,0.375,-57.95454545
502,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.774774775,0.375,-51.59883721
503,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.891891892,0.125,-85.98484848
504,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.873873874,0.75,-14.17525773
505,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.864864865,0.75,-13.28125
506,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.891891892,0.5,-43.93939394
507,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.900900901,0.375,-58.375
508,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.873873874,0.375,-57.08762887
509,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 5}",7,5,0.8125,0.142857143,-82.41758242
510,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.918918919,0.125,-86.39705882
511,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.846846847,0.375,-55.71808511
512,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.918918919,0.75,-18.38235294
513,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.882882883,0.125,-85.84183673
514,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.936936937,0.25,-73.31730769
515,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.900900901,0.375,-58.375
516,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.936936937,0.375,-59.97596154
517,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.837837838,0.375,-55.24193548
518,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.900900901,0.125,-86.125
519,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.837837838,0.5,-40.32258065
520,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.882882883,0.75,-15.05102041
521,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.918918919,0.5,-45.58823529
522,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.873873874,0.375,-57.08762887
523,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.891891892,0.375,-57.95454545
524,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 6}",7,6,0.794642857,0.285714286,-64.04494382
525,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.963963964,0.125,-87.03271028
526,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.846846847,0.5,-40.95744681
527,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.900900901,0.625,-30.625
528,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.90990991,0.125,-86.26237624
529,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.936936937,0.25,-73.31730769
530,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.891891892,0.375,-57.95454545
531,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.900900901,0.375,-58.375
532,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.882882883,0.375,-57.5255102
533,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.936936937,0.125,-86.65865385
534,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.891891892,0.625,-29.92424242
535,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.882882883,0.625,-29.20918367
536,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.927927928,0.5,-46.11650485
537,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.882882883,0.5,-43.36734694
538,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.918918919,0.375,-59.19117647
539,"{'rf_class__max_depth': 7, 'rf_class__n_estimators': 7}",7,7,0.857142857,0.142857143,-83.33333333
